row_no,cand_id,version,op,status,title,conditions,difficulty,cause_hypothesis,possible_change,strongest_alternative,decision_shift,next_cheap_check,new_evidence,new_evidence_source,evidence_judgment,old_topic_match,similar_to,merged_into,supersedes_row,content_hash,source,writer,written_at,note
22,cc72be0cbef,4,revise,awaiting_evidence,星历可预报的链路剩余寿命不在任何观测向量里（切换时刻的到达率坑）,逐包逐跳路由；主决策时刻=ISL 转发决策，第二时刻=GSL 出口决策（承重实测证据在 GSL/接入层，对位说明为通过前置）；ISL 遥断限'标称星历下的计划内遥断'（SHORT/MobiCom'24 提示轨道机动与随机失效弱化可预报性，计划内事件占比待统计）；τ_ho 为本地星历可计算的每-ISL 秒级标量（非通信获取）；GSL≈15s 周期中断为实测锚但 15s 非普适（STARTCAP 单终端样本警告，待回原文）；IZHIKEVICH 15s 尖峰为'对齐已报道周期'且全文无丢包数据（不直接承重交付坑）,在途包撞上将死 ISL→丢失或最后一刻重路由（推演，尚无数字支撑；切换窗口丢包统计已升为前置核验）；LOZANO 28 维状态/CHOU eq.(3)/LIAQ 状态/HE 观测均无寿命字段（证据审查逐字命中）；断链只事后编码（'拥塞=∞'+不可用链路 −5 惩罚）,【分层】原文事实=观测/动作层无寿命字段；【推演】可预报性在观测/动作层被闲置——'唯一用点=eq.(13) 模型继承'该表述以'观测/动作层无寿命字段'为前提（原文全文未穷尽）,观测加 k 个出 ISL 的 τ_ho（下次几何违约/matching 失配预测时刻−now；本地星历计算）；屏蔽阈值 T* 三候选（固定 15s / 包相关=预计剩余转发时间 / 仅特征不屏蔽）主实验+消融；走通一次决策+一次更新：ε-greedy 前对 τ_ho<T* 动作置 −inf，target 的 max_a′ 同样只在存活集上取，奖励不变（注明与'不可用链路 −5'可达集交互，消融寿命惩罚项）；收益上界=连续拓扑基线中'被路由向剩余转发时间内将关闭链路'的包占比（第一核验产出）；快照模式下机制贡献恒 0（前提待对模拟器代码核实）；LOZANO 开源模拟器无 LICENSE——改造仅限内部复现，不公开衍生,固定规则'切换前 T 秒禁用该 ISL'（与屏蔽同构，计划内大半可解；不解决 T×队列耦合与非计划失效）；更密快照（消构造性陈旧，不消最后一刻断裂）；下一快照拓扑入观测（特征近等价、屏蔽机制不等价）；完整替代栈=A1 固定死线+A3 下一快照观测+Yan25b（ICC'25 传输层精确时间戳停发，-60.5% 恢复时间/+55% 吞吐，摘要级）+Ort25（NetSoft'26 表级标称路由 DQL 兜底，摘要级）；He20/Zha26l/Jin26 未核,决策时刻唯一化：ISL 转发屏蔽为主，GSL 出口决策为第二时刻（τ_gw 入观测或屏蔽）；决策→更新闭环=屏蔽同时作用于动作选择与 target 的 max_a′,第一核验=连续拓扑基线日志统计收益上界占比；其次=切换窗口 vs 非窗口丢包差（先核 STARTCAP 15s 测量覆盖面）；新增 run1-B4 两点：①快照粒度 150 倍对照（LOZANO 15s vs PRIMAL 100ms，均原文核对）②仿真人造物竞争解释并入（快照模式下机制贡献恒 0，须对模拟器代码核实）；LOZANO 模拟器连续拓扑（2-3 天）,,,,,,,3,hfa9da9496480,path-B/卡3,agent/20260910-topic-loop,2026-09-11T00:34:25+0800,revise: 并入 run1-B4 同题卡的两点独特证据（历史碰撞审查批2裁决③*）
23,c48df7cfe69,2,merge,merged,run1-B4 链路剩余寿命：切换可预测性在路由观测合同中的缺位,包在出链路l上排队/转发，l 将在τ后因切换消失；τ 星历可算；现役状态向量无 time-to-link-change,epoch 边界附近『排队时延>剩余寿命』包必遇重配：被丢或事后绕远；仿真合同切换粒度差150倍（LOZANO 15s vs PRIMAL 100ms）,决策不消费剩余寿命→可预测性未兑现；STARTCAP stall/ GANNON MBB 已在传输/链路层消费可预测性（路由层缺位）,状态加 time-to-link-change 通道；或屏蔽『剩余寿命<单跳转发+队列清空』的出链路,切换前X秒冻结链路启发式（同机制，若够则降级基线比较）；传输层方案已吃干净,观测+动作屏蔽,自研仿真加统计量跑负载扫描，1天,,,,,,cc72be0cbef,,h48df7cfe6952,run1/path-B 卡B4,agent/20260910-topic-loop,2026-09-11T00:34:25+0800,merge -> cc72be0cbef: 同池同题实质重复，v3 为严格超集（批2裁决③*）
24,c5a63c921dd,2,revise,awaiting_evidence,跨跳信用/归因族卡：投递终局信用随包走（B2 诊断+卡2反事实对照）,包经 s1..sk，终态 k 跳后确定且仅目的端/丢弃点观测；各跳仅本地+一跳观测；PRIMAL 表I 学习算法丢包全0.00%=到达率差异空间前提（第一淘汰门：必须先造出有差异空间的合同，紧缓冲/匹配负载）,信用两断点：回报由序列耦合决策产生（贡献跨时间非跨团队）+agent 集合逐包重组（mixing 无法绑定成员）；B2 诊断侧=丢弃责任分散在路径多决策者，队列代理致『踢给下游』/『囤积』；CHOU 吞吐/丢包口径自相矛盾说明到达率口径文献内部不可靠,失败包责任可定位到具体跳；路径级信用把到达率变成可归因的每跳期望改善,包携带经历账本+终态按路径回溯的延迟回报分配（eligibility 随跳龄衰减）；两机制臂消融=卡2 星历反事实差分奖励（D卡2，原文待核）；共享第一核验=构造交付差异空间+失败归因直方图（leo_sim 3-5 跳 toy，per-hop vs path-credit 两版 DQN）,per-hop 分段加权奖励（DONG 式）约70%；终态回报均摊最简实现；PRIMAL 独立学习在无差异空间合同无增益,更新方式（不动网络结构）,leo_sim 3-5跳 toy 拓扑跑 per-hop vs path-credit 两版 DQN 看失败归因直方图,,,,,,,14,h39107c6198fc,run1/path-C 卡B,agent/20260910-topic-loop,2026-09-11T00:34:25+0800,revise: 并入 run1-B2 诊断资产成信用/归因族卡（批2裁决）
25,ca2339b16ae,2,merge,merged,run1-B2 丢弃事件跨节点归因断裂：到达率在奖励合同里没人负责,卫星i转发给近满队列的j，包在j或下游或TTL被丢；决策者观测不到最终是否送达,HE 表I学习算法丢包全0.00%（收益全在时延，合同工程化）；DONG 无交付指标；CHOU 吞吐87.5%交付与丢包46.81%自相矛盾——到达率口径文献内部不可靠,丢弃责任分散在路径多决策者，队列代理最优化致『踢给下游』或『囤积』，中等负载带到达率劣于可达值,丢弃位置分桶统计可影响占比；队列代理奖励vs丢弃反传奖励的交付-时延前沿对比,源/接入端归因改善（路由端无用）；Pareto 权重问题非归因问题,奖励端,按丢弃位置分桶+奖励项-交付率相关性，1天,,,,,,c5a63c921dd,,ha2339b16ae8e,run1/path-B 卡B2,agent/20260910-topic-loop,2026-09-11T00:34:25+0800,merge -> c5a63c921dd: 并入信用/归因族卡作诊断臂（批2裁决）
26,cc029fa6119,2,revise,awaiting_evidence,run1-B3 队列感知价值的负载带塌陷窗：体制切换时的阈值失标定,四篇拼图：LOZANO 低载1.7ms无差异/HE 50Mbps 工程化拥塞才有大收益/LIAQ 自认隔离排队防溢出+Dijkstra 理想时延最低/WEIL 无带宽限制=SP,队列感知价值存在窄负载带（四锚互证）；带边界处隐式改道阈值失标定→过早绕行时延↑或过晚绕行丢包↑；跨体制迁移的阈值行为从未被测量（限四锚+DTAR 范围）。评估两腿=稳态失标定（单负载训练×5点负载扫描取窗）+瞬态迁移（λ(t) 阶跃/爬坡下恢复时间与过冲）,训练合同单一负载→策略阈值在体制切换时失标定,负载课程/随机化训练（改动全落在 profile/合同层负载排程+种子，learning.py 零改动）+隐式阈值显式化（Q差敏感度+方向性先验：由未采样队列区间的外推形状预言失标定方向）+跨体制稳定性检验；对照臂=多负载混合训练（混合 vs 排程区分）、ELB/TLR 显式阈值切换响应、负载数率入状态（标量/测量窗/自身新鲜度/扩维位点）、LOZANO-continual（序贯负载课程，须同样失标定否则本卡空间压缩）；幅度锚=HE 合同为上界、LOZANO 低载为下界（只裁决运营相关性，不设成功阈值）,负载数率入状态（对症信息增补，最强对照）；ELB/TLR 阈值调参,训练合同+评估协议,单负载训练×5点负载扫描×（RL/ELB/SPF）画交付率-负载曲线找塌陷窗，2天,,,,,,,11,hce240d3ce2e4,run1/path-B 卡B3,agent/20260910-topic-loop,2026-09-11T00:55:25+0800,revise: 三角色审查整合：两腿拆分/课程臂对照/幅度锚/方向性预测/夸强措辞修正（B3-S1..S5+neighbor+evidence）
27,cc029fa6119,3,status_change,recommended_pending_review,run1-B3 队列感知价值的负载带塌陷窗：体制切换时的阈值失标定,四篇拼图：LOZANO 低载1.7ms无差异/HE 50Mbps 工程化拥塞才有大收益/LIAQ 自认隔离排队防溢出+Dijkstra 理想时延最低/WEIL 无带宽限制=SP,队列感知价值存在窄负载带（四锚互证）；带边界处隐式改道阈值失标定→过早绕行时延↑或过晚绕行丢包↑；跨体制迁移的阈值行为从未被测量（限四锚+DTAR 范围）。评估两腿=稳态失标定（单负载训练×5点负载扫描取窗）+瞬态迁移（λ(t) 阶跃/爬坡下恢复时间与过冲）,训练合同单一负载→策略阈值在体制切换时失标定,负载课程/随机化训练（改动全落在 profile/合同层负载排程+种子，learning.py 零改动）+隐式阈值显式化（Q差敏感度+方向性先验：由未采样队列区间的外推形状预言失标定方向）+跨体制稳定性检验；对照臂=多负载混合训练（混合 vs 排程区分）、ELB/TLR 显式阈值切换响应、负载数率入状态（标量/测量窗/自身新鲜度/扩维位点）、LOZANO-continual（序贯负载课程，须同样失标定否则本卡空间压缩）；幅度锚=HE 合同为上界、LOZANO 低载为下界（只裁决运营相关性，不设成功阈值）,负载数率入状态（对症信息增补，最强对照）；ELB/TLR 阈值调参,训练合同+评估协议,单负载训练×5点负载扫描×（RL/ELB/SPF）画交付率-负载曲线找塌陷窗，2天,,,,,,,11,hce240d3ce2e4,run1/path-B 卡B3,agent/20260910-topic-loop,2026-09-11T00:55:25+0800,status_change: 主控裁决推荐：三问均答+evidence可信+neighbor核心未覆盖
28,cc72be0cbef,5,revise,awaiting_evidence,星历可预报的链路剩余寿命不在任何观测向量里（切换时刻的到达率坑）,生存域收窄：ISL 计划内遥断+非计划失效的分布式逐包路由层（GSL 切换坑被 StarTCP 端侧停发+GANNON make-before-break 双层夹击，单独成题已无空间；计划内分量被时间展开图规划部分覆盖）；IZHIKEVICH 尖峰与切换无关（5 尖峰中 2 次同星）为库内反证方向；τ_ho 本地星历可计算（非通信获取）；GSL≈15s 中断为实测锚但 15s 非普适（出处=STARTCAP 笔记质疑段，待回原文）,在途包撞上将死 ISL→丢失或最后一刻重路由（推演，尚无数字支撑；切换窗口丢包统计已升为前置核验）；LOZANO 28 维状态/CHOU eq.(3)/LIAQ 状态/HE 观测均无寿命字段（证据审查逐字命中）；断链只事后编码（'拥塞=∞'+不可用链路 −5 惩罚）,【分层】原文事实=观测/动作层无寿命字段（四篇已核）+断链事后编码；【推演】可预报性在观测/动作层被闲置——限定为「不含 TAP-DAR 的现役方法」（其已把星历+队列预测放进路由管线，lag 补偿与该卡领地交叉，须全文核读划界）,观测加 k 个出 ISL 的 τ_ho（下次几何违约/matching 失配预测时刻−now；本地星历计算）；屏蔽阈值 T* 三候选（固定 15s / 包相关=预计剩余转发时间 / 仅特征不屏蔽）主实验+消融；走通一次决策+一次更新：ε-greedy 前对 τ_ho<T* 动作置 −inf，target 的 max_a′ 同样只在存活集上取，奖励不变（注明与'不可用链路 −5'可达集交互，消融寿命惩罚项）；收益上界=连续拓扑基线中'被路由向剩余转发时间内将关闭链路'的包占比（第一核验产出）；快照模式下机制贡献恒 0（前提待对模拟器代码核实）；LOZANO 开源模拟器无 LICENSE——改造仅限内部复现，不公开衍生,固定规则切换前 T 秒禁用（计划内大半可解）；下一快照拓扑入观测（特征近等价）；**时间展开图规划（计划内遥断构造性规避——计划内分量[部分覆盖]，生存域=分布式逐包+非计划失效+快照粒度人造物）**；GANNON-2024 MBB（条件性覆盖 GSL 切换坑，LEO-GEO 场景别过度引申）；Yan25b/Ort25 数字库外不可核、禁止承重（待核读）,决策时刻唯一化：ISL 转发屏蔽为主，GSL 出口决策为第二时刻（τ_gw 入观测或屏蔽）；决策→更新闭环=屏蔽同时作用于动作选择与 target 的 max_a′,第一核验=连续拓扑基线日志统计收益上界占比；其次=切换窗口 vs 非窗口丢包差（先核 STARTCAP 15s 测量覆盖面）；新增 run1-B4 两点：①快照粒度 150 倍对照（LOZANO 15s vs PRIMAL 100ms，均原文核对）②仿真人造物竞争解释并入（快照模式下机制贡献恒 0，须对模拟器代码核实）；LOZANO 模拟器连续拓扑（2-3 天）,,,,,,,22,hca0b6615ae8e,path-B/卡3,agent/20260910-topic-loop,2026-09-11T00:55:26+0800,revise: 三角色审查整合：生存域收窄（GANNON/TE规划入替代栈/两条库内竞争证据/Yan25b禁承重/TAP-DAR开窗）（C1/C2+L1-3..L1-6）
29,cc72be0cbef,6,status_change,recommended_pending_review,星历可预报的链路剩余寿命不在任何观测向量里（切换时刻的到达率坑）,生存域收窄：ISL 计划内遥断+非计划失效的分布式逐包路由层（GSL 切换坑被 StarTCP 端侧停发+GANNON make-before-break 双层夹击，单独成题已无空间；计划内分量被时间展开图规划部分覆盖）；IZHIKEVICH 尖峰与切换无关（5 尖峰中 2 次同星）为库内反证方向；τ_ho 本地星历可计算（非通信获取）；GSL≈15s 中断为实测锚但 15s 非普适（出处=STARTCAP 笔记质疑段，待回原文）,在途包撞上将死 ISL→丢失或最后一刻重路由（推演，尚无数字支撑；切换窗口丢包统计已升为前置核验）；LOZANO 28 维状态/CHOU eq.(3)/LIAQ 状态/HE 观测均无寿命字段（证据审查逐字命中）；断链只事后编码（'拥塞=∞'+不可用链路 −5 惩罚）,【分层】原文事实=观测/动作层无寿命字段（四篇已核）+断链事后编码；【推演】可预报性在观测/动作层被闲置——限定为「不含 TAP-DAR 的现役方法」（其已把星历+队列预测放进路由管线，lag 补偿与该卡领地交叉，须全文核读划界）,观测加 k 个出 ISL 的 τ_ho（下次几何违约/matching 失配预测时刻−now；本地星历计算）；屏蔽阈值 T* 三候选（固定 15s / 包相关=预计剩余转发时间 / 仅特征不屏蔽）主实验+消融；走通一次决策+一次更新：ε-greedy 前对 τ_ho<T* 动作置 −inf，target 的 max_a′ 同样只在存活集上取，奖励不变（注明与'不可用链路 −5'可达集交互，消融寿命惩罚项）；收益上界=连续拓扑基线中'被路由向剩余转发时间内将关闭链路'的包占比（第一核验产出）；快照模式下机制贡献恒 0（前提待对模拟器代码核实）；LOZANO 开源模拟器无 LICENSE——改造仅限内部复现，不公开衍生,固定规则切换前 T 秒禁用（计划内大半可解）；下一快照拓扑入观测（特征近等价）；**时间展开图规划（计划内遥断构造性规避——计划内分量[部分覆盖]，生存域=分布式逐包+非计划失效+快照粒度人造物）**；GANNON-2024 MBB（条件性覆盖 GSL 切换坑，LEO-GEO 场景别过度引申）；Yan25b/Ort25 数字库外不可核、禁止承重（待核读）,决策时刻唯一化：ISL 转发屏蔽为主，GSL 出口决策为第二时刻（τ_gw 入观测或屏蔽）；决策→更新闭环=屏蔽同时作用于动作选择与 target 的 max_a′,第一核验=连续拓扑基线日志统计收益上界占比；其次=切换窗口 vs 非窗口丢包差（先核 STARTCAP 15s 测量覆盖面）；新增 run1-B4 两点：①快照粒度 150 倍对照（LOZANO 15s vs PRIMAL 100ms，均原文核对）②仿真人造物竞争解释并入（快照模式下机制贡献恒 0，须对模拟器代码核实）；LOZANO 模拟器连续拓扑（2-3 天）,,,,,,,22,hca0b6615ae8e,path-B/卡3,agent/20260910-topic-loop,2026-09-11T00:55:26+0800,status_change: 主控裁决推荐（收窄版）：证据链逐字核+生存域明确+验证设计前置
30,cc24a3f94e5,3,revise,awaiting_evidence,路由状态新鲜度合同：邻居队列状态年龄-价值相图与年龄感知观测/塑形（家族卡）,逐包逐跳路由；决策时刻邻居队列状态年龄 a=信令/刷新间隔+传播+排队（LOZANO 28字段无年龄维度，PDF原句已核）；信令与数据同 ISL 争容量；注入位点=CacheEntry.generated_at 偏移或 control broadcast 周期放大，注入 Δ<ttl_s 防与缓存失效混杂；扫描只老化远端缓存广告通道（首跳自观测 age≈0 不动）；T-C1 直接前身（H1/H2/H3 继承）；信令开销幅度须按可计算式重算（队列字段×邻居数×刷新率÷ISL 容量，PRIMAL 50Mbps vs LOZANO 500MHz 约20-40×）,现役方法全部把 Δ/年龄当隐式常量，无一报告敏感度：Δ过大→羊群过矫正丢包（tao25 flapping 实证锚）、Δ过小→状态交换挤占业务容量；年龄-性能曲线从未被测量（WEIL 旋钮存在未量化，已回原文）；PRIMAL 异步产生年龄无度量,"【分层修正】传播时延估计（面内邻星~2000km→~7ms/面间~600km→~2ms）标【推演】；CacheEntry 类名修正（control.py:14，generated_at/received_at/ttl_s/hops）；空白表述收窄为「不含 TAP-DAR 的现役方法」——TAP-DAR（Liu et al. IEEE TCCN 2026, DOI 10.1109/TCCN.2026.3720213，摘要级）已显式建模 state information lag 并以星历+队列预测补偿，其是否含受控 Δ 相图/信息阶梯负对照只能由全文核读裁决；Wang24b GLOBECOM 自适应 LSU（DQN 学广播周期 Δ，信息偏差×开销多目标）=[部分覆盖]层①信令控制层；杀手解释①多跳广告年龄是否越阈必须以后测量","三机制层（不可互替）：①测量/相图层=(Δ,量化位数,负载)相图+陈旧值vs年龄修正预测对照+最优Δ随负载移动裁决（B1+C4 合并键）；②观测/策略层=age-conditioned policy/年龄折扣belief/按龄课程与增强+ELB时间戳信任衰减对照（A1+c30 并入，保留 M/M/1 toy 核验资产）；③塑形理论层=年龄折扣 drift-plus-penalty shaping 保最优策略集（C1，适用域=重载×大T_ctrl，独立生死门=Nie25/Hua25b 核读）",TAP-DAR 预测补偿（第一淘汰条件，须全文核读）；D卡10 相位随机化+滞回（对照不并入，原文待主控补核）；D卡11 事件触发双门限（预置对照）；信令频率提到决策级直接消除年龄；ELB/TLR 固定阈值,年龄 a 升格为一等实验变量+一等观测/决策变量；观测端+更新方式+（可选）信令动作,"第一核验=年龄注入×负载受控扫描（{0,1,2,5}拍/Δ×量化×负载/ELB 信令年龄注入为同一原语参数化，SatCom-TELMA/leo_sim 共用）；先裁决杀手竞争解释与差异空间前提；家族卡合并键=邻居队列状态决策时刻年龄 a",,,,,,,17,h42ffa2a980e7,run1/path-C 卡D,agent/20260910-topic-loop,2026-09-11T00:55:26+0800,revise: 三角色审查整合：标签修正（推演/CacheEntry）+空白收窄至 TAP-DAR/Wang24b 待核（F1-3/F1-4/F1-S1..S6+M1+A2）
31,cdc4ea70704,2,status_change,backlog,run1-A2 TTL预算下等待vs立即转发为一级动作,拥塞峰/切换窗临近；本星队列+邻居队列+链路剩余接触时间+包剩余TTL（后两者现有方法缺席）,wait 的收益延迟兑现且以真实丢包支付探索学费；PRIMAL 动作仅4条ISL无wait（已核）；WEIL 有wait无TTL语义（已核）,均值 critic 系统性低估罕见『等待救包』；不可逆转发与可逆等待未被分开定价,动作端加 wait 档/hold-until-t；观测加剩余寿命+TTL；送达+/超时−/缓存占用三分解奖励+IQN 尾部估计,TTL/队列双阈值 hold 固定规则（约60%）；现有框架直接加第5动作（60-80%）,动作端扩维,两类错误（转发后溢出/持有超时）计数与可避免性标注，半天零训练,,,,,,,,hdc4ea70704f6,run1/path-A 卡B,agent/20260910-topic-loop,2026-09-11T00:55:26+0800,status_change: 本轮未进深化清单，留存 backlog（独立或待证）
32,c3c9c86d5f0,2,status_change,backlog,run1-A3 不可逆动作的探索学费——交付率作显式CMDP约束,逐包错误不可逆（环路耗TTL/错链路丢包）；学习早期高探索期以真实交付率付学费；仅局部观测,主流奖励为稠密塑形（距离/队列），交付率无内部保护信号；训练前期交付先崩后升（推演）,约束RL若不约束交付率则交付无保护；GraphPR-RSPH/Weil masking 只防环不管学费,不可达/成环屏蔽+CQL式保守价值下界+交付率写为CMDP显式约束（Lagrangian）+在线探索预算-交付损失曲线,离线预训练+上星ε锁小（LOZANO 已示范，猜想消除70-90%学费）；RSPH+阈值防环约80%,奖励/约束端+部署端,开源仿真器完整训练一次输出损失来源分解堆积图，1天,,,,,,,,h3c9c86d5f04f,run1/path-A 卡C,agent/20260910-topic-loop,2026-09-11T00:55:26+0800,status_change: 本轮未进深化清单，留存 backlog（独立或待证）
33,c8db39131b7,2,status_change,backlog,run1-A4 非平稳分解：拓扑周期性vs流量漂移对策略过时的相对贡献,星上策略长期服役；拓扑随轨道演化（96min/15s）+流量昼夜波动；更新本身有代价风险,LOZANO 持续学习/CKA 未分解两类非平稳贡献；何时更新为固定日程而非信息驱动,可预报变化（轨道相位）正确解是条件化而非持续学习——持续学习在可预报变化上浪费预算且引入遗忘,轨道相位/相对几何作上下文输入（条件策略）；性能监测+CKA 触发按需更新；相位条件化vs周期重训vs持续学习三对照,每轨道周期重训（50-70%）；最短路兜底+仅拥塞期学习介入,观测端（上下文化）+更新触发机制,固定策略×{拓扑变/流量变/双变}×3-5轨道周期漂移分解，2天,,,,,,,,h8db39131b7b3,run1/path-A 卡D,agent/20260910-topic-loop,2026-09-11T00:55:26+0800,status_change: 本轮未进深化清单，留存 backlog（独立或待证）
34,c84e4fba9ab,2,status_change,backlog,run1-C3 星历先验+学习残差：把可算的从学习目标里剥出去,未来 W 时隙 ISL 通断/容量星历可预计算（时间扩展图确定性）；队列/突发不可预测只能陈旧观测,LOZANO 学习在『可计算部分』重复消耗样本；地面规划+残差假设静态图，LEO 断点=残差动作须在时间扩展图上保证无环与TTL可行（masking 由星历生成）,学习容量集中到唯一不可预测分量（队列）→突发场景到达率改善+样本需求下降,动作=星历计划路径邻域内选下一跳（masking 排除环/TTL超限）；critic 只学排队+丢弃残差回报（传播时延解析扣除）,k-SP 候选+队列阈值重选（突发场景大部分）；纯RL全状态版低载=SP 无增益,动作空间+学习目标,LOZANO 公开模拟器统计 DRL 决策与 TEG 最短路分歧率及分歧对错比例,,,,,,,,h84e4fba9abf9,run1/path-C 卡C,agent/20260910-topic-loop,2026-09-11T00:55:26+0800,status_change: 本轮未进深化清单，留存 backlog（独立或待证）
35,c77e62eb00f,1,add,awaiting_evidence,run2-A1 负载合同审计+固定策略强度扫描+强度条件化输入,逐包逐跳 RL 路由；策略在单一强度 ℓ 训练、部署到不同强度；库内 11 篇全文抽查无一报告训练-评估强度分离实验（QRLSN 锁死 Poi(5)；SaTE 为监督侧唯一混强度对等物）,跨强度失配退化曲线在库内缺失：多数论文不披露训练负载合同，做负载扫描者视其为对比曲线而非泛化测试,训练覆盖不足使价值函数在未访问强度区间外推有偏（信息侧：策略无从感知强度标量）,先测出第一条跨强度退化曲线（0.25–4× 冻结扫描 vs 每强度重训差值），再让策略显式感知强度：状态注入 λ̂/λ_ref,普通混载训练可吃掉 60–80%（若漂移主导）,测量协议 + 状态条件化,SatCom-TELMA 开源仿真器复现 Poi(5) DQN + 冻结策略强度扫描，1–2 天,,,,,,,,h77e62eb00ff7,run2/path-A-intensity.md 卡A1,agent/20260910-topic-loop,2026-09-11T03:06:52+0800,
36,c806e1db789,1,add,awaiting_evidence,run2-A2 强度三通道分解→相对化状态+溢出约束更新,强度变化同时改变占用分布/奖励尺度/最优结构三通道；现有方法未分离三者贡献,无法判断退化来自占用分布漂移、奖励尺度失配还是最优动作结构改变，导致改动选错靶,奖励尺度随负载变化使 Q 值量级漂移，且最优结构（是否绕行）整体改变,相对化状态（邻居占用秩+均值偏移）+ 溢出约束对偶更新（约束 P(overflow)≤ε，借用 C-DQN 的奖励尺度免疫论证）,混合负载训练+简单归一化即可（若尺度主导）；规则路由兜底（若结构主导）,状态表示 + 约束式更新,同平台双状态变体对照，1–2 天,,,,,,,,h806e1db7896e,run2/path-A-intensity.md 卡A2,agent/20260910-topic-loop,2026-09-11T03:06:52+0800,
37,c37b7753f31,1,add,awaiting_evidence,run2-A3 塌陷先发生在决策器：推理排队瓶颈与前兆,逐包 RL 推理有物理时延与缓存上限（M/D/C/N）；21k pps 实测决策时延 17.5ms、丢包 21%（S85KQ4FC 图2）,塌陷形状分两型：推理缓存硬悬崖 vs 链路饱和渐变；多数论文不建模决策器排队，退化归因可能错位,到达率上升使推理排队饱和，决策缓存溢出丢包——这是独立于链路拥塞的到达率损失通道,双粒度决策（flow table 命中沿用 + θ_dec 超限/miss 触发 DNN 推理）+ 决策缓存占用作前兆 + 超限降级规则路由,纯链路容量解释（若决策时延占比 <5%）；现有推理加速/批处理优化即可消除,决策结构与推理物理,加 M/D/C/N 决策器模块测悬崖右移与前兆曲线，1–2 天,,,,,,,,h37b7753f3192,run2/path-A-intensity.md 卡A3,agent/20260910-topic-loop,2026-09-11T03:06:52+0800,
38,c9bbc1f6604,1,add,awaiting_evidence,run2-B1 热点可辨识性：拥塞场相位注入观测,"地转+人口决定的拥塞场是（星下点,UTC）近似确定函数；现有观测只有队列快照；CMNCS52M 表3 静态 zone 模型 RL NMB≈15%，时变 population/traffic 恶化至 40–70%",逐跳策略被迫反应式追逐热点，MDP 一致性被破坏（状态不含决定拥塞位置的相位变量）,信息不可辨识：同样队列快照可能对应不同未来热点位置，策略无法区分,状态注入轨道相位+邻域队列斜率（不改网络结构/奖励）,zone 静态模型可得同增益则驳回；单纯增加训练分布覆盖（混热点位置训练）可吃掉大部分,观测特征（信息可辨识性）,相位消融 5 seed，0.5–1 天,,,,,,,,h9bbc1f6604a8,run2/path-B-hotspot.md 卡B1,agent/20260910-topic-loop,2026-09-11T03:06:52+0800,
39,cc0e429067b,1,add,awaiting_evidence,run2-B2 热点迁移下的决策面拥塞：推理成本作独立到达率损失通道,热点迁移使推理负载与数据负载同步集中；S85KQ4FC 图2 实测 21k pps 时 DNN 决策时延 17.5ms、丢包 21%,文献全部未把推理丢包计入到达率口径——收益被高估、退化被误归因,控制面（推理）与数据面共享资源，热点迁移同时压垮二者,事件触发+流级动作复用（不改学习算法）,决策时延占比 <5% 则本卡无空间（淘汰线）,决策执行机制,测决策时延占比与推理丢包占比，1–2 天,,,,,,,,hc0e429067b0b,run2/path-B-hotspot.md 卡B2,agent/20260910-topic-loop,2026-09-11T03:06:52+0800,
40,c3d376febf7,1,add,awaiting_evidence,run2-B3 热点迁移评估协议：守恒 OD 漂移算子分离三假说,空间非平稳是测量盲区：库内无一在训练/测试间互换 OD 分布或热点位置,失败原因三假说（信息不可辨识/策略记忆/数据面拥塞）从未被正面分离,未分离导致所有改动都缺乏归因依据,守恒 OD 漂移算子（热点平移/OD重连/UTC相位平移/强度对照）+ L0基线/L1信息增强/L2在线微调/L3重训上界四层对照，判读规则写死,G-AODV 测过不同连接对（非逐跳 RL、无守恒约束）,评估协议（方法论卡）,先幅度定标，1–2 天,,,,,,,,h3d376febf7ce,run2/path-B-hotspot.md 卡B3,agent/20260910-topic-loop,2026-09-11T03:06:52+0800,
41,cdc387b303e,1,add,awaiting_evidence,run2-C1 突发持续时间×反应时间常数错配→瞬态窗到达率塌陷,同均值不同突发持续时间/占空比；策略反应时间常数与突发时长可比,Boyan&Littman 记录负载上调适应快、降回后极慢且不收敛回最优（迟滞）；FRL-SR 显式剔除初始瞬态时段,瞬态窗内策略仍在旧体制，且降载后过估计滞留导致迟滞,状态加 Δq_τ+突发龄计数；动作加改路最小驻留 T_dwell；奖励加瞬态窗丢包惩罚项（Bellman 更新式不变）,普通混载训练含突发（40–80%）；固定阈值滞回规则路由,观测+动作约束+奖励塑形,"ON-OFF 同均值扫描 T_on{0.2,1,10}s×duty{0.2,0.5}，输出瞬态窗条件指标 vs 时间平均指标，1.5 天",,,,,,,,hdc387b303eba,run2/path-C-burst.md 卡C1,agent/20260910-topic-loop,2026-09-11T03:06:52+0800,
